Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.622500,7.660714,7.585000,7.643214,6.461978,493729600
2010-01-05,7.664286,7.699643,7.616071,7.656429,6.473148,601904800
2010-01-06,7.656429,7.686786,7.526786,7.534643,6.370186,552160000
2010-01-07,7.562500,7.571429,7.466071,7.520714,6.358408,477131200
2010-01-08,7.510714,7.571429,7.466429,7.570714,6.400681,447610800
2010-01-11,7.600000,7.607143,7.444643,7.503929,6.344216,462229600
2010-01-12,7.471071,7.491786,7.372143,7.418571,6.272051,594459600
2010-01-13,7.423929,7.533214,7.289286,7.523214,6.360523,605892000
2010-01-14,7.503929,7.516429,7.465000,7.479643,6.323685,432894000
2010-01-15,7.533214,7.557143,7.352500,7.354643,6.218002,594067600
2010-01-19,7.440357,7.685357,7.401429,7.680000,6.493078,730007600
2010-01-20,7.675357,7.698214,7.482143,7.561786,6.393134,612152800
2010-01-21,7.574286,7.618214,7.400357,7.431071,6.282618,608154400
2010-01-22,7.385000,7.410714,7.041429,7.062500,5.971009,881767600
2010-01-25,7.232500,7.310714,7.149643,7.252500,6.131648,1065699600
2010-01-26,7.355357,7.632500,7.235000,7.355000,6.218304,1867110000
2010-01-27,7.387500,7.520714,7.126071,7.424286,6.276885,1722568400
2010-01-28,7.318929,7.339286,7.096429,7.117500,6.017509,1173502400
2010-01-29,7.181429,7.221429,6.794643,6.859286,5.799201,1245952400
2010-02-01,6.870357,7.000000,6.832143,6.954643,5.879822,749876400
2010-02-02,6.996786,7.011429,6.906429,6.995000,5.913942,698342400
2010-02-03,6.970357,7.150000,6.943571,7.115357,6.015698,615328000
2010-02-04,7.026071,7.084643,6.841786,6.858929,5.798900,757652000
2010-02-05,6.879643,7.000000,6.816071,6.980714,5.901864,850306800
2010-02-08,6.988929,7.067143,6.928571,6.932857,5.861403,478270800
2010-02-09,7.015000,7.053571,6.955357,7.006786,5.923907,632886800
2010-02-10,6.996071,7.021429,6.937857,6.968571,5.891597,370361600
2010-02-11,6.960000,7.133929,6.930714,7.095357,5.998789,550345600
2010-02-12,7.075357,7.201429,6.982143,7.156429,6.050422,655468800
2010-02-16,7.212143,7.274643,7.197143,7.264286,6.141611,543737600
2010-02-17,7.292500,7.296786,7.173571,7.233929,6.115944,436396800
2010-02-18,7.201071,7.281786,7.175714,7.247500,6.127419,422825200
2010-02-19,7.209286,7.257143,7.182500,7.202500,6.089374,415469600
2010-02-22,7.226429,7.232143,7.113929,7.157857,6.051629,390563600
2010-02-23,7.142857,7.190357,6.989643,7.037857,5.950175,575094800
2010-02-24,7.079643,7.194286,7.065714,7.166429,6.058877,460566400
2010-02-25,7.049286,7.245000,7.031786,7.214286,6.099338,665126000
2010-02-26,7.227857,7.327500,7.214286,7.307857,6.178447,507460800
2010-03-01,7.348214,7.482143,7.337500,7.463929,6.310399,550093600
2010-03-02,7.497500,7.529643,7.419286,7.458929,6.306171,566546400
2010-03-03,7.462143,7.495357,7.426429,7.476071,6.320664,372052800
2010-03-04,7.474286,7.532857,7.451071,7.525357,6.362334,366041200
2010-03-05,7.676429,7.846429,7.665357,7.819643,6.611138,899620400
2010-03-08,7.857500,7.860357,7.794643,7.824286,6.615065,429889600
2010-03-09,7.796786,8.035714,7.781786,7.965000,6.734033,920259200
2010-03-10,7.993929,8.052857,7.971429,8.030000,6.788985,596218000
2010-03-11,7.996786,8.053571,7.975714,8.053571,6.808914,405700400
2010-03-12,8.120357,8.133214,8.062500,8.092857,6.842129,416323600
2010-03-15,8.049286,8.053571,7.866071,7.994286,6.758791,493502800
2010-03-16,8.006429,8.035000,7.946786,8.016071,6.777211,446908000
2010-03-17,8.032143,8.087500,7.973929,8.004286,6.767245,450956800
2010-03-18,8.003571,8.035714,7.950357,8.023214,6.783248,342109600
2010-03-19,8.028214,8.044286,7.901071,7.937500,6.710782,559445600
2010-03-22,7.873929,8.071429,7.862500,8.026786,6.786269,456419600
2010-03-23,8.058571,8.170714,8.003571,8.155714,6.895272,602431200
2010-03-24,8.130000,8.221429,8.125357,8.191786,6.925767,597780400
2010-03-25,8.247143,8.248929,8.080357,8.094643,6.843637,542284400
2010-03-26,8.176786,8.283929,8.162500,8.246429,6.971964,640875200
2010-03-29,8.321429,8.352500,8.272143,8.299643,7.016956,540744400
2010-03-30,8.450000,8.481429,8.366071,8.423214,7.121428,527310000
2010-03-31,8.410357,8.450357,8.373571,8.392857,7.095763,430659600
2010-04-01,8.478929,8.526071,8.312500,8.427500,7.125052,603145200
2010-04-05,8.392143,8.518214,8.384643,8.517500,7.201144,684507600
2010-04-06,8.507143,8.580000,8.464286,8.555000,7.232847,447017200
2010-04-07,8.555357,8.640000,8.523571,8.592857,7.264856,628502000
2010-04-08,8.587143,8.626429,8.501429,8.569643,7.245230,572989200
2010-04-09,8.622500,8.638929,8.587857,8.635357,7.300787,334182800
2010-04-12,8.650000,8.681071,8.636071,8.653214,7.315885,333026400
2010-04-13,8.637857,8.671429,8.611071,8.658214,7.320108,306210800
2010-04-14,8.760000,8.778929,8.716786,8.774643,7.418545,404076400
2010-04-15,8.777857,8.893929,8.768214,8.890000,7.516076,376784800
2010-04-16,8.877500,8.969286,8.733929,8.835714,7.470180,750545600
2010-04-19,8.822500,8.853214,8.634643,8.823929,7.460215,566924400
2010-04-20,8.876429,8.901786,8.677143,8.735357,7.385331,738326400
2010-04-21,9.242857,9.294643,9.133214,9.257857,7.827083,982391200
2010-04-22,9.222857,9.526786,9.150000,9.516786,8.045992,793424800
2010-04-23,9.571071,9.720714,9.535714,9.672500,8.177641,796955600
2010-04-26,9.710000,9.730714,9.578214,9.625000,8.137484,479068800
2010-04-27,9.545357,9.565714,9.304286,9.358571,7.912230,709343600
2010-04-28,9.401786,9.428571,9.157500,9.342857,7.898948,758402400
2010-04-29,9.393571,9.642857,9.357500,9.594286,8.111517,558840800
2010-04-30,9.618214,9.663214,9.321429,9.324643,7.883543,542463600
2010-05-03,9.422857,9.567143,9.388571,9.512500,8.042369,454342000
2010-05-04,9.388929,9.403214,9.169643,9.238571,7.810775,723819600
2010-05-05,9.036786,9.219286,8.883214,9.142500,7.729551,883103200
2010-05-06,9.065357,9.223214,7.116071,8.794643,7.435454,1285860800
2010-05-07,8.703929,8.806071,8.043214,8.423571,7.121730,1676018400
2010-05-10,8.937500,9.094643,8.876071,9.071071,7.669162,984306400
2010-05-11,8.994286,9.281786,8.946429,9.161429,7.745553,848906800
2010-05-12,9.258571,9.397500,9.239286,9.360357,7.913737,654379600
2010-05-13,9.400714,9.464286,9.157143,9.227143,7.801113,599712400
2010-05-14,9.112857,9.160000,8.910714,9.065000,7.664029,759362800
2010-05-17,9.096429,9.149286,8.846786,9.079286,7.676107,762834800
2010-05-18,9.177857,9.233929,8.937857,9.012857,7.619948,782678400
2010-05-19,8.910714,9.032857,8.744643,8.869286,7.498561,1025726800
2010-05-20,8.638571,8.708929,8.436071,8.491429,7.179104,1282915200
2010-05-21,8.315000,8.732143,8.262500,8.654286,7.316788,1223891200
2010-05-24,8.831429,8.960714,8.795000,8.812857,7.450853,754238800
2010-05-25,8.548214,8.812857,8.470000,8.757857,7.404352,1048006400
2010-05-26,8.931429,9.004643,8.705357,8.718214,7.370840,850654000
2010-05-27,8.950000,9.067500,8.896786,9.048214,7.649837,666282400
2010-05-28,9.263929,9.264286,9.048214,9.174286,7.756425,815614800
2010-06-01,9.274643,9.497857,9.248571,9.315357,7.875696,876472800
2010-06-02,9.447857,9.457143,9.297500,9.426786,7.969903,688548000
2010-06-03,9.470714,9.483929,9.300357,9.397143,7.944838,650106800
2010-06-04,9.221786,9.353571,9.093929,9.141429,7.728648,758304400
2010-06-07,9.224643,9.255357,8.948214,8.962143,7.577066,886942000
2010-06-08,9.044286,9.064286,8.773214,8.904643,7.528456,1000770400
2010-06-09,8.981071,8.996429,8.660357,8.685714,7.343359,854630000
2010-06-10,8.744286,8.963571,8.650000,8.946786,7.564085,776356000
2010-06-11,8.865357,9.066429,8.834643,9.053929,7.654667,545759200
2010-06-14,9.141429,9.255357,9.071786,9.081429,7.677919,602960400
